65.65	5.513	
65.75	5.074	
65.84	4.899	
65.94	4.966	
66.04	4.914	
66.14	4.925	
66.24	4.994	
66.34	5.353	
66.44	5.842	
66.53	5.899	
66.63	5.942	
66.73	4.795	
66.82	4.889	
66.92	5.222	
67.02	5.313	
67.12	4.697	
67.22	5.128	
67.31	5.225	
67.42	5.19	
67.52	5.103	
67.63	4.814	
67.73	4.778	
67.83	5.182	
67.93	5.125	
68.03	4.778	
68.13	5.047	
68.23	5.19	
68.33	4.536	
68.43	5.68	
68.53	4.602	
68.63	5.457	
68.73	5.437	
68.84	4.847	
68.94	5.181	
69.04	4.773	
69.14	4.988	
69.24	5.219	
69.34	4.694	
69.45	5.217	
69.57	5.165	
69.67	4.641	
69.77	5.257	
69.87	5.151	
69.98	5.185	
70.08	5.195	
70.18	4.833	
70.28	5.083	
70.38	5.129	
70.48	4.881	
70.58	5.03	
70.68	5.053	
70.78	4.954	
70.89	4.894	
70.99	4.987	
71.09	5.031	
71.19	5.018	
71.29	5.026	
71.4	5.071	
71.5	4.967	
71.62	4.978	
71.72	5.087	
71.82	5.086	
71.93	5.12	
72.03	4.896	
72.14	5.073	
72.24	4.971	
72.34	5.049	
72.45	4.929	
72.55	4.971	
72.66	5.045	
72.76	5.029	
72.86	4.95	
72.97	5.009	
73.07	5.005	
73.17	4.965	
73.28	5.039	
73.38	4.979	
73.48	4.945	
73.61	4.951	
73.71	4.93	
73.8	4.966	
73.89	5.001	
73.98	4.996	
74.08	4.933	
74.17	5.039	
74.27	4.912	
74.36	4.994	
74.46	4.944	
74.55	4.969	
74.65	4.961	
74.74	4.931	
74.84	4.985	
74.93	4.97	
75.03	4.936	
75.12	4.985	
75.21	4.956	
75.31	4.942	
75.4	4.924	
75.5	4.967	
75.61	4.988	
75.7	4.956	
75.8	4.979	
75.89	4.913	
75.99	4.939	
76.09	5.021	
76.19	4.933	
76.28	4.961	
76.37	5.003	
76.47	4.923	
76.56	4.98	
76.66	4.982	
76.75	4.928	
76.84	4.98	
76.95	4.914	
77.04	4.931	
77.14	4.97	
77.23	4.948	
77.34	4.93	
77.44	4.961	
77.53	4.884	
77.63	4.916	
77.74	4.893	
77.83	4.949	
77.93	4.883	
78.02	4.878	
78.12	4.916	
78.21	4.867	
78.31	4.944	
78.4	4.93	
78.5	4.91	
78.59	4.88	
78.68	4.92	
78.78	4.914	
78.88	4.912	
78.97	4.934	
79.07	4.865	
79.17	4.927	
79.27	4.853	
79.37	4.925	
79.48	4.911	
79.57	4.926	
79.67	4.916	
79.77	4.631	
79.88	4.806	
79.98	4.691	
80.07	4.584	
80.17	4.456	
80.27	4.637	
80.36	4.28	
80.46	5.754	
80.55	3.804	
80.65	3.381	
80.75	4.229	
80.85	4.514	
80.94	7.173	
81.04	6.693	
81.13	4.473	
81.23	3.842	
81.33	6.408	
81.43	4.233	
81.52	4.588	
81.62	6.595	
81.72	2.911	
81.81	5.603	
81.91	5.429	
82.02	4.595	
82.12	6.098	
82.21	5.722	
82.31	5.404	
82.42	4.87	
82.51	5.625	
82.61	5.623	
82.71	4.909	
82.83	4.992	
82.92	5.022	
83.02	5.105	
83.11	4.933	
83.21	4.838	
83.31	4.936	
83.41	5.101	
83.51	5.005	
83.61	5.052	
83.71	4.648	
83.8	4.553	
83.9	5.715	
84.0	5.866	
84.12	5.3	
84.22	3.047	
84.32	3.883	
84.42	3.426	
84.52	3.396	
84.62	3.116	
84.72	3.835	
84.82	2.799	
84.91	3.145	
85.02	4.904	
85.11	2.919	
85.21	3.767	
85.31	3.357	
85.41	2.694	
85.51	1.803	
85.61	1.242	
85.71	1.64	
85.82	2.439	
85.92	1.144	
86.03	1.67	
86.14	2.592	
86.25	3.659	
86.35	0.994	
86.45	1.269	
86.56	0.905	
86.66	1.24	
86.76	1.009	
86.87	1.045	
86.97	1.365	
87.07	1.094	
87.17	0.797	
87.28	0.988	
87.38	0.793	
87.48	0.68	
87.59	0.821	
87.69	0.88	
87.79	1.01	
87.89	0.946	
88.0	1.029	
88.11	0.967	
88.21	0.933	
88.32	0.939	
88.42	0.956	
88.53	0.967	
88.63	0.97	
88.74	0.903	
88.84	0.903	
88.94	0.901	
89.05	0.895	
89.15	0.916	
89.26	0.957	
89.36	0.939	
89.47	0.908	
89.57	0.92	
89.68	0.902	
89.78	0.873	
89.89	0.922	
89.99	0.85	
90.11	0.903	
90.22	0.851	
90.33	0.885	
90.43	0.857	
90.53	0.879	
90.64	0.896	
90.74	0.895	
90.84	0.864	
90.95	0.859	
91.05	0.913	
91.16	0.929	
91.26	0.896	
91.37	0.939	
91.47	0.9	
91.57	0.928	
91.68	0.879	
91.78	0.822	
91.89	0.889	
91.99	0.833	
92.11	0.878	
92.21	0.929	
92.32	0.899	
92.42	0.826	
92.52	0.794	
92.63	0.784	
92.74	0.884	
92.84	0.908	
92.94	0.868	
93.05	0.805	
93.15	0.851	
93.26	0.917	
93.36	0.855	
93.47	0.883	
