3.28s	-0.038	-0.038	-0.059
3.39s	-0.035	-0.039	-0.079
3.50s	-0.029	-0.051	-0.087
3.60s	-0.027	-0.046	-0.091
3.71s	-0.035	-0.047	-0.081
3.82s	-0.040	-0.045	-0.072
3.93s	-0.043	-0.050	-0.071
4.19s	-0.041	-0.035	-0.057
4.30s	-0.041	-0.051	-0.052
4.41s	-0.033	-0.042	-0.071
4.52s	-0.037	-0.032	-0.072
4.62s	-0.045	-0.036	-0.063
4.73s	-0.050	-0.045	-0.053
4.84s	-0.020	-0.051	-0.084
4.95s	-0.053	-0.030	-0.092
5.06s	-0.047	-0.049	-0.074
5.17s	-0.038	-0.046	-0.069
5.28s	-0.039	-0.036	-0.068
5.38s	-0.049	-0.035	-0.080
5.49s	-0.036	-0.046	-0.074
5.60s	-0.037	-0.052	-0.070
5.71s	-0.028	-0.035	-0.066
5.82s	-0.055	-0.037	-0.069
5.93s	-0.037	-0.040	-0.083
6.04s	-0.035	-0.046	-0.062
6.15s	-0.049	-0.044	-0.100
6.25s	-0.019	-0.038	-0.062
6.36s	-0.042	-0.036	-0.051
6.47s	-0.022	-0.044	-0.055
6.58s	-0.041	-0.037	-0.069
6.69s	-0.039	-0.044	-0.060
6.80s	-0.044	-0.037	-0.054
6.91s	-0.058	-0.042	-0.088
7.02s	-0.037	-0.035	-0.015
7.13s	-0.039	-0.037	-0.047
7.24s	-0.034	-0.039	-0.042
7.35s	-0.029	-0.052	-0.029
7.46s	-0.053	-0.050	-0.036
0.06s	0.050	0.051	-0.200
0.17s	0.070	0.068	-0.150
0.28s	0.063	0.064	-0.200
0.39s	0.052	0.065	-0.177
0.50s	0.038	0.068	-0.186
0.61s	0.054	0.064	-0.172
0.72s	0.064	0.061	-0.193
0.83s	0.068	0.073	-0.167
0.94s	0.046	0.076	-0.179
1.05s	0.055	0.075	-0.171
1.15s	0.046	0.070	-0.174
1.26s	0.055	0.078	-0.183
1.37s	0.050	0.069	-0.176
1.48s	0.044	0.063	-0.187
1.59s	0.059	0.080	-0.194
1.70s	0.056	0.084	-0.192
1.81s	0.078	0.084	-0.161
1.92s	0.048	0.084	-0.183
2.03s	0.058	0.072	-0.183
2.14s	0.052	0.066	-0.164
2.25s	0.064	0.077	-0.212
2.35s	0.078	0.090	-0.183
2.46s	0.047	0.083	-0.202
2.57s	0.061	0.091	-0.207
2.68s	0.053	0.091	-0.187
2.79s	0.050	0.088	-0.196
2.90s	0.065	0.075	-0.213
3.01s	0.057	0.088	-0.240
3.12s	0.065	0.085	-0.206
3.23s	0.045	0.091	-0.192
3.34s	0.050	0.087	-0.195
